,100000
0,4.0
1,2.0
2,2.6666666666666665
3,3.0
4,3.2
5,3.3333333333333335
6,3.4285714285714284
7,3.5
8,3.5555555555555554
9,3.6
10,3.272727272727273
11,3.3333333333333335
12,3.076923076923077
13,3.142857142857143
14,3.2
15,3.25
16,3.2941176470588234
17,3.3333333333333335
18,3.3684210526315788
19,3.4
20,3.4285714285714284
21,3.4545454545454546
22,3.4782608695652173
23,3.5
24,3.52
25,3.5384615384615383
26,3.5555555555555554
27,3.5714285714285716
28,3.586206896551724
29,3.466666666666667
30,3.4838709677419355
31,3.5
32,3.515151515151515
33,3.5294117647058822
34,3.4285714285714284
35,3.4444444444444446
36,3.4594594594594597
37,3.473684210526316
38,3.4871794871794872
39,3.4
40,3.317073170731707
41,3.3333333333333335
42,3.255813953488372
43,3.272727272727273
44,3.2888888888888888
45,3.3043478260869565
46,3.3191489361702127
47,3.3333333333333335
48,3.3469387755102042
49,3.28
50,3.215686274509804
51,3.230769230769231
52,3.2452830188679247
53,3.185185185185185
54,3.2
55,3.2142857142857144
56,3.2280701754385963
57,3.2413793103448274
58,3.2542372881355934
59,3.2666666666666666
60,3.2131147540983607
61,3.225806451612903
62,3.238095238095238
63,3.1875
64,3.2
65,3.212121212121212
66,3.2238805970149254
67,3.235294117647059
68,3.1884057971014492
69,3.142857142857143
70,3.1549295774647885
71,3.111111111111111
72,3.1232876712328768
73,3.135135135135135
74,3.1466666666666665
75,3.1052631578947367
76,3.116883116883117
77,3.076923076923077
78,3.088607594936709
79,3.1
80,3.111111111111111
81,3.1219512195121952
82,3.1325301204819276
83,3.142857142857143
84,3.1058823529411765
85,3.116279069767442
86,3.1264367816091956
87,3.090909090909091
88,3.101123595505618
89,3.111111111111111
90,3.120879120879121
91,3.130434782608696
92,3.139784946236559
93,3.148936170212766
94,3.1578947368421053
95,3.125
96,3.0927835051546393
97,3.1020408163265305
98,3.111111111111111
99,3.12
100,3.128712871287129
101,3.1372549019607843
102,3.145631067961165
103,3.1153846153846154
104,3.123809523809524
105,3.1320754716981134
106,3.1401869158878504
107,3.1481481481481484
108,3.1192660550458715
109,3.1272727272727274
110,3.135135135135135
111,3.142857142857143
112,3.1150442477876106
113,3.087719298245614
114,3.0956521739130434
115,3.103448275862069
116,3.111111111111111
117,3.1186440677966103
118,3.1260504201680672
119,3.1333333333333333
120,3.1404958677685952
121,3.1475409836065573
122,3.154471544715447
123,3.161290322580645
124,3.168
125,3.1746031746031744
126,3.1811023622047245
127,3.1875
128,3.193798449612403
129,3.169230769230769
130,3.1755725190839694
131,3.1818181818181817
132,3.1578947368421053
133,3.1641791044776117
134,3.1703703703703705
135,3.176470588235294
136,3.1824817518248176
137,3.1884057971014492
138,3.1654676258992804
139,3.1714285714285713
140,3.1773049645390072
141,3.183098591549296
142,3.1888111888111887
143,3.1944444444444446
144,3.1724137931034484
145,3.1506849315068495
146,3.1564625850340136
147,3.1621621621621623
148,3.1677852348993287
149,3.1733333333333333
150,3.152317880794702
151,3.1578947368421053
152,3.1372549019607843
153,3.142857142857143
154,3.1483870967741936
155,3.1538461538461537
156,3.159235668789809
157,3.1645569620253164
158,3.1446540880503147
159,3.15
160,3.1552795031055902
161,3.1604938271604937
162,3.165644171779141
163,3.1707317073170733
164,3.175757575757576
165,3.180722891566265
166,3.161676646706587
167,3.1666666666666665
168,3.171597633136095
169,3.176470588235294
170,3.1578947368421053
171,3.1627906976744184
172,3.167630057803468
173,3.1724137931034484
174,3.1542857142857144
175,3.1363636363636362
176,3.1412429378531073
177,3.1235955056179776
178,3.1284916201117317
179,3.1333333333333333
180,3.138121546961326
181,3.142857142857143
182,3.1475409836065573
183,3.152173913043478
184,3.156756756756757
185,3.161290322580645
186,3.165775401069519
187,3.1702127659574466
188,3.1534391534391535
189,3.136842105263158
190,3.141361256544503
191,3.1458333333333335
192,3.1295336787564767
193,3.134020618556701
194,3.1384615384615384
195,3.142857142857143
196,3.1472081218274113
197,3.1515151515151514
198,3.135678391959799
199,3.14
200,3.144278606965174
201,3.1485148514851486
202,3.1330049261083746
203,3.1176470588235294
204,3.102439024390244
205,3.1067961165048543
206,3.111111111111111
207,3.1153846153846154
208,3.1196172248803826
209,3.104761904761905
210,3.109004739336493
211,3.1132075471698113
212,3.1173708920187795
213,3.121495327102804
214,3.125581395348837
215,3.1296296296296298
216,3.133640552995392
217,3.1376146788990824
218,3.141552511415525
219,3.1272727272727274
220,3.1312217194570136
221,3.135135135135135
222,3.1390134529147984
223,3.125
224,3.128888888888889
225,3.1327433628318584
226,3.1365638766519823
227,3.1403508771929824
228,3.1441048034934496
229,3.1478260869565218
230,3.1515151515151514
231,3.1379310344827585
232,3.1416309012875536
233,3.1452991452991452
234,3.148936170212766
235,3.152542372881356
236,3.1561181434599157
237,3.1596638655462184
238,3.1631799163179917
239,3.1666666666666665
240,3.1701244813278007
241,3.1735537190082646
242,3.1604938271604937
243,3.1639344262295084
244,3.16734693877551
245,3.1707317073170733
246,3.174089068825911
247,3.1774193548387095
248,3.1646586345381524
249,3.168
250,3.1553784860557768
251,3.142857142857143
252,3.130434782608696
253,3.1338582677165356
254,3.1372549019607843
255,3.140625
256,3.1439688715953307
257,3.147286821705426
258,3.1505791505791505
259,3.1538461538461537
260,3.1417624521072796
261,3.145038167938931
262,3.1482889733840302
263,3.1363636363636362
264,3.139622641509434
265,3.142857142857143
266,3.146067415730337
267,3.1492537313432836
268,3.1524163568773234
269,3.1555555555555554
270,3.143911439114391
271,3.1470588235294117
272,3.15018315018315
273,3.1386861313868613
274,3.1418181818181816
275,3.1449275362318843
276,3.1335740072202167
277,3.1223021582733814
278,3.1254480286738353
279,3.1285714285714286
280,3.117437722419929
281,3.120567375886525
282,3.1236749116607774
283,3.1267605633802815
284,3.1298245614035087
285,3.132867132867133
286,3.1358885017421603
287,3.138888888888889
288,3.141868512110727
289,3.1310344827586207
290,3.134020618556701
291,3.1232876712328768
292,3.1262798634812285
293,3.1156462585034013
294,3.1050847457627118
295,3.108108108108108
296,3.111111111111111
297,3.1140939597315436
298,3.117056856187291
299,3.12
300,3.122923588039867
301,3.1258278145695364
302,3.128712871287129
303,3.1315789473684212
304,3.121311475409836
305,3.1241830065359477
306,3.1270358306188926
307,3.1298701298701297
308,3.132686084142395
309,3.1354838709677417
310,3.1382636655948555
311,3.141025641025641
312,3.143769968051118
313,3.1464968152866244
314,3.149206349206349
315,3.151898734177215
316,3.1545741324921135
317,3.157232704402516
318,3.147335423197492
319,3.15
320,3.1526479750778815
321,3.142857142857143
322,3.1331269349845203
323,3.1358024691358026
324,3.1384615384615384
325,3.1411042944785277
326,3.143730886850153
327,3.1463414634146343
328,3.148936170212766
329,3.1515151515151514
330,3.1540785498489425
331,3.144578313253012
332,3.135135135135135
333,3.1377245508982035
334,3.1402985074626866
335,3.142857142857143
336,3.14540059347181
337,3.1479289940828403
338,3.1386430678466075
339,3.1294117647058823
340,3.131964809384164
341,3.134502923976608
342,3.1370262390670556
343,3.13953488372093
344,3.1420289855072463
345,3.1445086705202314
346,3.1469740634005765
347,3.1494252873563218
348,3.151862464183381
349,3.1542857142857144
350,3.1452991452991452
351,3.1363636363636362
352,3.1274787535410766
353,3.1299435028248586
354,3.132394366197183
355,3.134831460674157
356,3.1260504201680672
357,3.1284916201117317
358,3.13091922005571
359,3.1333333333333333
360,3.1357340720221605
361,3.138121546961326
362,3.1404958677685952
363,3.142857142857143
364,3.1452054794520548
365,3.1475409836065573
366,3.1498637602179835
367,3.152173913043478
368,3.154471544715447
369,3.156756756756757
370,3.1590296495956873
371,3.161290322580645
372,3.163538873994638
373,3.165775401069519
374,3.168
375,3.1702127659574466
376,3.1618037135278514
377,3.164021164021164
378,3.1556728232189974
379,3.1578947368421053
380,3.1601049868766404
381,3.162303664921466
382,3.164490861618799
383,3.1666666666666665
384,3.1584415584415586
385,3.160621761658031
386,3.1627906976744184
387,3.1649484536082473
388,3.167095115681234
389,3.169230769230769
390,3.1713554987212276
391,3.173469387755102
392,3.1653944020356235
393,3.16751269035533
394,3.169620253164557
395,3.1717171717171717
396,3.1738035264483626
397,3.1758793969849246
398,3.1779448621553885
399,3.18
400,3.1820448877805485
401,3.18407960199005
402,3.1861042183622827
403,3.1881188118811883
404,3.1901234567901233
405,3.1921182266009853
406,3.194103194103194
407,3.196078431372549
408,3.1882640586797066
409,3.1902439024390246
410,3.192214111922141
411,3.1844660194174756
412,3.1864406779661016
413,3.178743961352657
414,3.180722891566265
415,3.173076923076923
416,3.175059952038369
417,3.1674641148325358
418,3.1694510739856803
419,3.1714285714285713
420,3.173396674584323
421,3.1658767772511847
422,3.15839243498818
423,3.150943396226415
424,3.152941176470588
425,3.1549295774647885
426,3.1569086651053864
427,3.1588785046728973
428,3.160839160839161
